Title,cast_and_crew
Insidious The Last Key,"Adam Robitel (director); Leigh Whannell (screenplay); Lin Shaye, Angus Sampson, Leigh Whannell, Spencer Locke, Caitlin Gerard, Kirk Acevedo, Bruce Davison"
The Strange Ones,"Lauren Wolkstein (director); Christopher Radcliff (co-director/screenplay); Alex Pettyfer, James Freedson-Jackson, Emily Althaus, Gene Jones, Owen Campbell, Tobias Campbell"
Stratton,"Simon West (director); Duncan Falconer, Warren Davis II (screenplay); Dominic Cooper, Austin Stowell, Gemma Chan, Thomas Kretschmann, Tyler Hoechlin, Tom Felton"
Sweet Country,"Warwick Thornton (director); David Tranter, Steven McGregor (screenplay); Bryan Brown, Sam Neill"
The Commuter,"Jaume Collet-Serra (director); Byron Willinger, Philip de Blasi (screenplay); Liam Neeson, Vera Farmiga, Patrick Wilson, Jonathan Banks, Elizabeth McGovern, Sam Neill"
Proud Mary,"Babak Najafi (director); John S. Newman, Christian Swegal (screenplay); Taraji P. Henson, Billy Brown, Danny Glover, Neal McDonough, Xander Berkeley, Margaret Avery"
Acts of Violence,"Brett Donowho (director); Nicolas Aaron Mezzanatto (screenplay); Bruce Willis, Cole Hauser, Shawn Ashmore, Melissa Bolona, Mike Epps"
Freak Show,"Trudie Styler (director); Patrick J. Clifton, Beth Rigazio (screenplay); Alex Lawther, Abigail Breslin, Bette Midler, AnnaSophia Robb, Ian Nelson, Lorraine Toussaint, Laverne Cox"
Humor Me,"Sam Hoffman (director/screenplay); Jemaine Clement, Elliott Gould, Ingrid Michaelson, Annie Potts, Priscilla Lopez, Bebe Neuwirth, Maria Dizzia"
Vazante,"Daniela Thomas (director/screenplay); Beto Amaral (screenplay); Adriano Carvalho, Luana Nastas"
Mary and the Witch's Flower,"Hiromasa Yonebayashi (director/screenplay); Riko Sakaguchi (screenplay); Ruby Barnhill, Louis Ashbourne Serkis, Kate Winslet, Jim Broadbent, Teresa Gallagher, Ewen Bremner, Rasmus Hardiker, Morwenna Banks, Lynda Baron"
12 Strong,"Nicolai Fuglsig (director); Peter Craig, Ted Tally (screenplay); Chris Hemsworth, Michael Shannon, Michael Peña, Navid Negahban, Trevante Rhodes, Geoff Stults, Thad Luckinbill, Rob Riggle, William Fichtner"
Den of Thieves,"Christian Gudegast (director/screenplay); Paul Scheuring (screenplay); Gerard Butler, 50 Cent, Pablo Schreiber, O'Shea Jackson Jr., Evan Jones, Dawn Olivieri, Mo McRae, Max Holloway"
Forever My Girl,"Bethany Ashton Wolf (director/screenplay); Alex Roe, Jessica Rothe, John Benjamin Hickey"
Maze Runner: The Death Cure,"Wes Ball (director); T.S. Nowlin (screenplay); Dylan O'Brien, Kaya Scodelario, Thomas Brodie-Sangster, Ki Hong Lee, Giancarlo Esposito, Aidan Gillen, Walton Goggins, Barry Pepper, Will Poulter, Patricia Clarkson"
The Insult,"Ziad Doueiri (director/screenplay); Joelle Touma (screenplay); Adel Karam, Camille Salameh, Kamel El Basha"
Please Stand By,"Ben Lewin (director); Michael Golamco (screenplay); Dakota Fanning, Toni Collette, Alice Eve"
Winchester,"The Spierig Brothers (director/screenplay); Helen Mirren, Jason Clarke, Sarah Snook, Angus Sampson"
A Fantastic Woman,"Sebastián Lelio (director/screenplay); Gonzalo Maza (screenplay); Daniela Vega, Francisco Reyes"
Armed,"Mario Van Peebles (director/screenplay); Mario Van Peebles, William Fichtner, Ryan Guzman, Columbus Short, Laz Alonso"
The Cloverfield Paradox,"Julius Onah (director); Oren Uziel, Doug Jung (screenplay); Daniel Brühl, Elizabeth Debicki, Aksel Hennie, Gugu Mbatha-Raw, Chris O'Dowd, John Ortiz, David Oyelowo, Zhang Ziyi"
Bad Apples,"Bryan Coyne (director/screenplay); Brea Grant, Graham Skipper, Aly Fitzgerald, Heather Vaughn, Richard Riehle"
Peter Rabbit,"Will Gluck (director/screenplay); Rob Lieber (screenplay); James Corden, Domhnall Gleeson, Rose Byrne, Daisy Ridley, Margot Robbie, Elizabeth Debicki, Sam Neill"
Fifty Shades Freed,"James Foley (director); Niall Leonard (screenplay); Dakota Johnson, Jamie Dornan, Kim Basinger, Eric Johnson, Rita Ora, Luke Grimes, Victor Rasuk, Jennifer Ehle, Marcia Gay Harden"
The 15:17 to Paris,"Clint Eastwood (director); Dorothy Blyskal (screenplay); Anthony Sadler, Alek Skarlatos, Spencer Stone, Judy Greer, Jenna Fischer, Ray Corasani"
La Boda de Valentina,"Marco Polo Constandse (director); Omar Chaparro, Marimar Vega, Ryan Carnes"
Kri,"Surendra Poudel (director/screenplay); Anmol K.C., Aditi Budhathoki, Anoop Bikram Shahi"
Permission,"Brian Crano (director/screenplay); Rebecca Hall, Dan Stevens, Morgan Spector, David Joseph Craig, Gina Gershon, Jason Sudeikis"
Monster Family,"Holger Tappe (director); David Safier, Catharine Junk (screenplay); Emily Watson, Jason Isaacs, Nick Frost, Jessica Brown Findlay, Celia Imrie, Catherine Tate"
Golden Exits,"Alex Ross Perry (director/screenplay); Emily Browning, Adam Horowitz, Mary-Louise Parker, Jason Schwartzman, Chloë Sevigny, Analeigh Tipton"
Black Panther,"Ryan Coogler (director/​screenplay); Joe Robert Cole (screenplay); Chadwick Boseman, Michael B. Jordan, Lupita Nyong'o, Danai Gurira, Martin Freeman, Daniel Kaluuya, Letitia Wright, Winston Duke, Angela Bassett, Forest Whitaker, Andy Serkis, John Kani, Florence Kasumba, Atandwa Kani, Sterling K. Brown, Isaach de Bankolé, Trevor Noah, Stan Lee, Sebastian Stan"
Early Man,"Nick Park (director); Mark Burton, John O'Farrell (screenplay); Eddie Redmayne, Tom Hiddleston, Maisie Williams, Timothy Spall"
Loveless,"Andrey Zvyagintsev (director); Oleg Negin, Andrey Zvyagintsev (screenplay); Maryana Spivak, Alexei Rozin, Matvey Novikov, Marina Vasilyeva, Andris Keišs"
The Party,"Sally Potter (director/screenplay); Timothy Spall, Kristin Scott Thomas, Patricia Clarkson, Emily Mortimer, Cillian Murphy, Bruno Ganz"
Nostalgia,"Mark Pellington (director/screenplay); Alex Ross Perry (screenplay); Jon Hamm, Nick Offerman, Amber Tamblyn, Patton Oswalt, Catherine Keener, Ellen Burstyn, Bruce Dern, John Ortiz, James LeGros"
Black '47,"Lance Daly (director); PJ Dillon, Pierce Ryan, Eugene O'Brien, & Lance Daly (screenplay); Hugo Weaving, Jim Broadbent, Stephen Rea, Freddie Fox, Moe Dunford, James Frecheville, Sarah Greene, Barry Keoghan"
Samson,"Bruce Macdonald (director); Timothy Ratajczak, Jason Baumgardner (screenplay); Taylor James, Jackson Rathbone, Billy Zane, Caitlin Leahy, Rutger Hauer, Lindsay Wagner"
Game Night,"Jonathan Goldstein, John Francis Daley (directors); Mark Perez (screenplay); Jason Bateman, Rachel McAdams, Kyle Chandler, Billy Magnussen, Sharon Horgan, Lamorne Morris, Kylie Bunbury, Jesse Plemons, Michael C. Hall"
Annihilation,"Alex Garland (director/screenplay); Natalie Portman, Jennifer Jason Leigh, Gina Rodriguez, Tessa Thompson, Tuva Novotny, Oscar Isaac"
Every Day,"Michael Sucsy (director); Jesse Andrews (screenplay); Angourie Rice, Maria Bello, Debby Ryan, Jacob Batalon, Justice Smith, Lucas Jade Zumann"
The Cured,"David Freyne (director); Ellen Page, Sam Keeley, Tom Vaughan-Lawlor"
The Lodgers,"Brian O'Malley (director); David Turpin (screenplay); Charlotte Vega, Bill Milner, Eugene Simon, David Bradley, Deirdre O'Kane, Moe Dunford"
Red Sparrow,"Francis Lawrence (director); Justin Haythe (screenplay); Jennifer Lawrence, Joel Edgerton, Matthias Schoenaerts, Charlotte Rampling, Mary-Louise Parker, Jeremy Irons"
Death Wish,"Eli Roth (director); Joe Carnahan (screenplay); Bruce Willis, Vincent D'Onofrio, Dean Norris, Kimberly Elise, Mike Epps, Elisabeth Shue, Camila Morrone"
The Vanishing of Sidney Hall,"Shawn Christensen (director/screenplay); Jason Dolan (screenplay); Logan Lerman, Elle Fanning, Michelle Monaghan, Nathan Lane, Kyle Chandler"
Foxtrot,"Samuel Maoz (director/screenplay); Lior Ashkenazi, Sarah Adler, Yonatan Shiray"
Pickings,"Usher Morgan (director/screenplay); Elyse Price, Joel Bernard, Katie Vincent, Joe Trombino"
A Wrinkle in Time,"Ava DuVernay (director); Jennifer Lee (screenplay); Storm Reid, Oprah Winfrey, Reese Witherspoon, Mindy Kaling, Levi Miller, Deric McCabe, Chris Pine, Gugu Mbatha-Raw, Michael Peña, Zach Galifianakis"
Gringo,"Nash Edgerton (director); Anthony Tambakis, Matthew Stone (screenplay); David Oyelowo, Charlize Theron, Joel Edgerton, Amanda Seyfried, Thandie Newton, Sharlto Copley"
Thoroughbreds,"Cory Finley (director/screenplay); Olivia Cooke, Anya Taylor-Joy, Anton Yelchin, Paul Sparks, Francie Swift"
The Death of Stalin,"Armando Iannucci (director/screenplay); Steve Buscemi, Simon Russell Beale, Paddy Considine, Rupert Friend, Jason Isaacs, Michael Palin, Andrea Riseborough, Jeffrey Tambor"
The Leisure Seeker,"Paolo Virzì (director/screenplay); Francesca Archibugi, Francesco Piccolo, Stephen Amidon (screenplay); Donald Sutherland, Helen Mirren"
The Strangers: Prey at Night,"Johannes Roberts (director); Bryan Bertino, Ben Ketai (screenplay); Christina Hendricks, Martin Henderson, Bailee Madison, Lewis Pullman"
The Hurricane Heist,"Rob Cohen (director/screenplay); Toby Kebbell, Maggie Grace, Ryan Kwanten, Melissa Bolona, Ralph Ineson"
Tomb Raider,"Roar Uthaug (director); Geneva Robertson-Dworet (screenplay); Alicia Vikander, Dominic West, Walton Goggins, Daniel Wu, Kristin Scott Thomas, Derek Jacobi, Nick Frost, Hannah John-Kamen"
"Love, Simon","Greg Berlanti (director); Isaac Aptaker, Elizabeth Berger (screenplay); Nick Robinson, Katherine Langford, Alexandra Shipp, Jorge Lendeborg Jr., Miles Heizer, Keiynan Lonsdale, Logan Miller, Jennifer Garner, Josh Duhamel, Tony Hale"
I Can Only Imagine,"Jon Erwin (director/screenplay); Andrew Erwin (co-director), Alex Cramer, Brent McCorkle (screenplay); Cloris Leachman, Dennis Quaid, Priscilla Shirer, Madeline Carroll, J. Michael Finley, Trace Adkins"
7 Days in Entebbe,"José Padilha (director); Gregory Burke (screenplay); Rosamund Pike, Daniel Brühl, Vincent Cassel, Eddie Marsan, Ben Schnetzer"
Furlough,"Laurie Collyer (director); Barry Strugatz (screenplay); Melissa Leo, Tessa Thompson, La La Anthony, Whoopi Goldberg, Anna Paquin"
Josie,"Eric England (director), Anthony Ragnone II (screenplay); Sophie Turner, Dylan McDermott, Jack Kilmer"
Flower,"Max Winkler (director), Alex McAulay (screenplay); Zoey Deutch, Kathryn Hahn, Tim Heidecker, Joey Morgan, Adam Scott"
Pacific Rim: Uprising,"Steven S. DeKnight (director/screenplay); Emily Carmichael, Kira Snyder, T.S. Nowlin (screenplay); John Boyega, Scott Eastwood, Cailee Spaeny, Charlie Day, Burn Gorman, Rinko Kikuchi, Jing Tian, Adria Arjona, Zhang Jin"
Isle of Dogs,"Wes Anderson (director/screenplay); Bryan Cranston, Edward Norton, Bill Murray, Jeff Goldblum, Bob Balaban, Greta Gerwig, Frances McDormand, Courtney B. Vance, Fisher Stevens, Harvey Keitel, Liev Schreiber, Scarlett Johansson, Tilda Swinton, F. Murray Abraham, Frank Wood"
